source_id,file_path,file_name,format,status,error_message,file_size_bytes,file_sha256,text_length,text_sha256,duplicate_file_group,source_has_multiple_files,raw_text_output,processed_at_utc
S001,core/S001_9a20554b-en.pdf,S001_9a20554b-en.pdf,pdf,ok,,8573945,3d39e8e4a6bb987f9a13eb9d5e53670a410c5288eb5993571178c8dfb8da2593,395203,03bfe11f16dc0510fa634298af9ebc7f9314e00eedcbce53843151c16eac267a,file_sha256:3d39e8e4a6bb987f,False,raw_text/S001.txt,2026-05-17T13:52:46.727935+00:00
S002,core/S002_9a20554b-en.pdf,S002_9a20554b-en.pdf,pdf,ok,,8573945,3d39e8e4a6bb987f9a13eb9d5e53670a410c5288eb5993571178c8dfb8da2593,395203,03bfe11f16dc0510fa634298af9ebc7f9314e00eedcbce53843151c16eac267a,file_sha256:3d39e8e4a6bb987f,False,raw_text/S002.txt,2026-05-17T13:52:46.727935+00:00
S003,core/S003_9a20554b-en.pdf,S003_9a20554b-en.pdf,pdf,ok,,8573945,3d39e8e4a6bb987f9a13eb9d5e53670a410c5288eb5993571178c8dfb8da2593,395203,03bfe11f16dc0510fa634298af9ebc7f9314e00eedcbce53843151c16eac267a,file_sha256:3d39e8e4a6bb987f,False,raw_text/S003.txt,2026-05-17T13:52:46.727935+00:00
S004,core/S004_9a20554b-en.pdf,S004_9a20554b-en.pdf,pdf,ok,,8573945,3d39e8e4a6bb987f9a13eb9d5e53670a410c5288eb5993571178c8dfb8da2593,395203,03bfe11f16dc0510fa634298af9ebc7f9314e00eedcbce53843151c16eac267a,file_sha256:3d39e8e4a6bb987f,False,raw_text/S004.txt,2026-05-17T13:52:46.727935+00:00
S005,core/S005_968587cd-en.pdf,S005_968587cd-en.pdf,pdf,ok,,10061944,58f2772ebf642946287bee92bea9d2ddaffd8a0429496a1568b8fdb70df5dc54,193849,f7bcbff0fff48723bd6f46b67fdd7ef07d2b56d96521fad47a86a82bb19c725c,file_sha256:58f2772ebf642946,False,raw_text/S005.txt,2026-05-17T13:52:46.727935+00:00
S006,core/S006_968587cd-en.pdf,S006_968587cd-en.pdf,pdf,ok,,10061944,58f2772ebf642946287bee92bea9d2ddaffd8a0429496a1568b8fdb70df5dc54,193849,f7bcbff0fff48723bd6f46b67fdd7ef07d2b56d96521fad47a86a82bb19c725c,file_sha256:58f2772ebf642946,False,raw_text/S006.txt,2026-05-17T13:52:46.727935+00:00
S007,core/S007_968587cd-en.pdf,S007_968587cd-en.pdf,pdf,ok,,10061944,58f2772ebf642946287bee92bea9d2ddaffd8a0429496a1568b8fdb70df5dc54,193849,f7bcbff0fff48723bd6f46b67fdd7ef07d2b56d96521fad47a86a82bb19c725c,file_sha256:58f2772ebf642946,False,raw_text/S007.txt,2026-05-17T13:52:46.727935+00:00
S008,core/S008_968587cd-en.pdf,S008_968587cd-en.pdf,pdf,ok,,10061944,58f2772ebf642946287bee92bea9d2ddaffd8a0429496a1568b8fdb70df5dc54,193849,f7bcbff0fff48723bd6f46b67fdd7ef07d2b56d96521fad47a86a82bb19c725c,file_sha256:58f2772ebf642946,False,raw_text/S008.txt,2026-05-17T13:52:46.727935+00:00
S009,core/S009_undesa_pd_2024_WPP2024_Summary_of_Results.pdf,S009_undesa_pd_2024_WPP2024_Summary_of_Results.pdf,pdf,ok,,18523583,b5421436f2a0afc6ab5d668b9afb79418234d09c3115f1de4252419b26d748d7,206662,8724f08098169766581d8b146c85169aa5047e6a54cc3f03cdfbc20bfd2f162a,file_sha256:b5421436f2a0afc6,False,raw_text/S009.txt,2026-05-17T13:52:46.727935+00:00
S010,core/S010_undesa_pd_2024_WPP2024_Summary_of_Results.pdf,S010_undesa_pd_2024_WPP2024_Summary_of_Results.pdf,pdf,ok,,18523583,b5421436f2a0afc6ab5d668b9afb79418234d09c3115f1de4252419b26d748d7,206662,8724f08098169766581d8b146c85169aa5047e6a54cc3f03cdfbc20bfd2f162a,file_sha256:b5421436f2a0afc6,False,raw_text/S010.txt,2026-05-17T13:52:46.727935+00:00
